time,Date,load_2030,solar,wind,gas,batt_charge,batt_discharge,SOC,load_net,load_and_charge
2030-11-09T16:00:00Z,11/9/2018,553.7325716510071,373.36095657327746,396.34806746263905,0,0,0,2203.765661993876,215.98,553.73
2030-11-09T17:00:00Z,11/9/2018,607.0581665557161,0,507.6512918870794,0,0,99.40687466863676,2086.816397677833,0,607.06
2030-11-09T18:00:00Z,11/9/2018,609.0641383802641,0,525.0706989616363,0,0,83.99343941862786,1988.0005865970943,0,609.06
2030-11-09T19:00:00Z,11/9/2018,595.002874401037,0,528.5772029831371,0,0,66.42567141789995,1909.8527378701533,0,595
2030-11-09T20:00:00Z,11/9/2018,580.1121370711329,0,534.9115328284312,0,0,45.20060424270174,1856.6755564081511,0,580.11
2030-11-09T21:00:00Z,11/9/2018,560.1488135345841,0,618.8414032785669,0,58.69258974398282,0,1915.368146152134,0,618.84
2030-11-09T22:00:00Z,11/9/2018,526.668349430928,0,627.211767716991,0,100.54341828606302,0,2015.911564438197,0,627.21
2030-11-09T23:00:00Z,11/9/2018,494.7753178331839,0,542.4901060361922,0,47.71478820300822,0,2063.6263526412054,0,542.49
2030-11-10T00:00:00Z,11/9/2018,475.07167555676506,0,449.39807991697086,0,0,25.67359563979422,2033.4221224767414,0,475.07
2030-11-10T01:00:00Z,11/10/2018,463.68160509630394,0,445.0997846648077,0,0,18.581820431496258,2011.5611572632163,0,463.68
2030-11-10T02:00:00Z,11/10/2018,456.116430443308,0,457.3159922235879,0,1.1995617802798981,0,2012.7607190434962,0,457.32
2030-11-10T03:00:00Z,11/10/2018,454.422765660459,0,478.4681293855497,0,24.045363725090603,0,2036.8060827685867,0,478.47
2030-11-10T04:00:00Z,11/10/2018,457.69989313730895,0,484.68934619789087,0,26.989453060581937,0,2063.795535829169,0,484.69
2030-11-10T05:00:00Z,11/10/2018,473.67854767613,0,543.2818972668546,0,69.60334959072449,0,2133.3988854198933,0,543.28
2030-11-10T06:00:00Z,11/10/2018,495.777037946547,0,563.6422431981539,0,67.86520525160681,0,2201.2640906714996,0,563.64
2030-11-10T07:00:00Z,11/10/2018,511.38818556711294,25.77115561888181,580.3829720750003,0,2.501571322376063,0,2203.765661993876,92.26,513.89
2030-11-10T08:00:00Z,11/10/2018,505.300796417551,242.88367375121632,593.9565360292003,0,0,0,2203.765661993876,331.54,505.3
2030-11-10T09:00:00Z,11/10/2018,492.97480299060396,405.41827424219724,579.0256156795806,0,0,0,2203.765661993876,491.47,492.97
2030-11-10T10:00:00Z,11/10/2018,475.92065156267705,488.13971402696853,594.2958751280554,0,0,0,2203.765661993876,606.51,475.92
2030-11-10T11:00:00Z,11/10/2018,460.44381346339395,495.7345068841819,492.15480637270065,0,0,0,2203.765661993876,527.45,460.44
2030-11-10T12:00:00Z,11/10/2018,456.650528853966,446.5524089264281,570.8814773070605,0,0,0,2203.765661993876,560.78,456.65
2030-11-10T13:00:00Z,11/10/2018,455.50595466677896,369.31585777257527,549.6162271121477,0,0,0,2203.765661993876,463.43,455.51
2030-11-10T14:00:00Z,11/10/2018,460.17143499609205,280.1124719467981,565.7913908242359,0,0,0,2203.765661993876,385.73,460.17
2030-11-10T15:00:00Z,11/10/2018,472.098929794676,192.67280319351502,469.305973716464,0,0,0,2203.765661993876,189.88,472.1
2030-11-10T16:00:00Z,11/10/2018,532.514178424388,101.6769152273955,399.1758932864314,21.17270186116492,0,10.488668049396045,2191.4260525239984,0,532.51
2030-11-10T17:00:00Z,11/10/2018,579.689933159389,0,573.822416163804,0,0,5.867516995584945,2184.523091352722,-0,579.69
2030-11-10T18:00:00Z,11/10/2018,574.94019145395,0,594.1827620951043,0,19.242570641154146,0,2203.765661993876,0,594.18
2030-11-10T19:00:00Z,11/10/2018,559.270459530187,0,508.4430831177409,50.82737641244607,0,0,2203.765661993876,-0,559.27
2030-11-10T20:00:00Z,11/10/2018,545.2188976264661,0,334.70146450398073,210.5174331224854,0,0,2203.765661993876,0,545.22
2030-11-10T21:00:00Z,11/10/2018,523.69900422866306,0,291.0398337846376,232.65917044402536,0,0,2203.765661993876,-0,523.7
2030-11-10T22:00:00Z,11/10/2018,494.608289039753,0,358.4552014238309,133.17304088693552,0,2.980046728986696,2200.2597246656564,0,494.61
2030-11-10T23:00:00Z,11/10/2018,467.0442797507129,0,470.55021707893263,0,3.505937328219696,0,2203.765661993876,0,470.55
2030-11-11T00:00:00Z,11/10/2018,448.89521403509207,0,328.70647375754265,120.18874027754934,0,0,2203.765661993876,-0,448.9
2030-11-11T01:00:00Z,11/11/2018,438.324694231825,0,202.69855504938675,235.62613918243824,0,0,2203.765661993876,0,438.32
2030-11-11T02:00:00Z,11/11/2018,432.7430767745011,0,155.30419424263778,277.4388825318634,0,0,2203.765661993876,0,432.74
2030-11-11T03:00:00Z,11/11/2018,433.43053864937497,0,165.1450281094328,268.2855105399422,0,0,2203.765661993876,0,433.43
2030-11-11T04:00:00Z,11/11/2018,438.19756686182797,0,191.50036478717112,246.69720207465681,0,0,2203.765661993876,-0,438.2
2030-11-11T05:00:00Z,11/11/2018,452.73033526272604,0,255.63545447076658,197.09488079195944,0,0,2203.765661993876,0,452.73
2030-11-11T06:00:00Z,11/11/2018,475.27868801350604,0,130.75866609212633,344.52002192137974,0,0,2203.765661993876,0,475.28
2030-11-11T07:00:00Z,11/11/2018,497.888654432973,3.9576955150487416,112.43435475395604,266.32441336847444,0,115.17219079549443,2068.2689669403535,0,497.89
2030-11-11T08:00:00Z,11/11/2018,509.4924605583611,38.37161114420454,252.35517651516798,0,0,218.76567289898858,1810.8975870591903,0,509.49
2030-11-11T09:00:00Z,11/11/2018,510.151278691245,108.72835076673388,447.588271389744,0,46.16534346523399,0,1857.0629305244245,-0,556.32
2030-11-11T10:00:00Z,11/11/2018,506.13986363337204,177.0687156575651,505.0496921291911,0,175.97854415338423,0,2033.0414746778085,-0,682.12
2030-11-11T11:00:00Z,11/11/2018,508.5533642082311,179.43105891088427,499.84649261341445,0,170.72418731606757,0,2203.765661993876,0,679.28
2030-11-11T12:00:00Z,11/11/2018,506.08341599296705,166.77494684492876,282.89569541211745,56.41277373592079,0,0,2203.765661993876,-0,506.08
2030-11-11T13:00:00Z,11/11/2018,506.71636489755,168.57072846798405,283.1219214780216,55.023714951544356,0,0,2203.765661993876,0,506.72
2030-11-11T14:00:00Z,11/11/2018,511.212323266683,132.62893677913485,258.80261939341324,119.78076709413486,0,0,2203.765661993876,-0,511.21
2030-11-11T15:00:00Z,11/11/2018,531.2528272867371,90.64931088069625,303.9347195411282,136.66879686491268,0,0,2203.765661993876,0,531.25
2030-11-11T16:00:00Z,11/11/2018,575.7312102521099,51.91156746755464,349.8586109195044,173.9610318650509,0,0,2203.765661993876,0,575.73
2030-11-11T17:00:00Z,11/11/2018,639.044918164568,0,347.5963502604713,291.44856790409665,0,0,2203.765661993876,-0,639.04
2030-11-11T18:00:00Z,11/11/2018,635.2894701936959,0,264.345158008045,164.91025160555,0,206.03406058010137,1961.372649546698,0,635.29
2030-11-11T19:00:00Z,11/11/2018,617.1277788864879,0,232.44728271567485,0,0,384.6804961708132,1508.8073599339766,0,617.13
2030-11-11T20:00:00Z,11/11/2018,593.0241727682788,0,151.45835112228178,0,0,441.5658216459972,989.3181579975092,0,593.02
2030-11-11T21:00:00Z,11/11/2018,561.64861637091,0,207.33618940040512,0,0,354.31242697050493,572.4800086204443,0,561.65
2030-11-11T22:00:00Z,11/11/2018,520.301319521526,0,371.2369741473692,0,0,149.0643453741567,397.1101905332012,-0,520.3
2030-11-11T23:00:00Z,11/11/2018,486.13116926260204,0,575.971563789886,0,89.84039452728403,0,486.9505850604853,-0,575.97
2030-11-12T00:00:00Z,11/11/2018,468.928115260669,0,494.4170670317347,0,25.48895177106573,0,512.439536831551,-0,494.42
2030-11-12T01:00:00Z,11/12/2018,461.307233388474,0,421.5722738108608,0,0,39.73495957761316,465.6925255637707,-0,461.31
2030-11-12T02:00:00Z,11/12/2018,458.36076333215505,0,366.1468876645447,0,0,92.21387566761042,357.20561301364074,0,458.36
2030-11-12T03:00:00Z,11/12/2018,461.18632726174604,0,344.88163746963085,0,0,116.30468979211517,220.3765661993876,-0,461.19
2030-11-12T04:00:00Z,11/12/2018,474.57694722387106,0,489.77943268071635,0,15.202485456845325,0,235.57905165623296,-0,489.78
2030-11-12T05:00:00Z,11/12/2018,508.252498871173,0,647.4590006153392,0,139.20650174416636,0,374.78555340039935,-0,647.46
2030-11-12T06:00:00Z,11/12/2018,554.771472976041,0,588.5271104475205,0,33.75563747147948,0,408.5411908718788,0,588.53
